Tanggal WIB	Jam WIB	BTC Open	BTC High	BTC Low	BTC Close	Posisi	Lot BTC	Pending Reverse	Qty Pending	Action	Saldo Realized	Equity MTM
2018-11-13	22:00	6448,99	6472,07	6441,01	6459,5	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6733
2018-11-13	23:00	6460,97	6495	6455,86	6490	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,7242
2018-11-14	00:00	6490	6496	6475,8	6485,99	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,7175
2018-11-14	01:00	6485,99	6498	6445,09	6457,34	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6697
2018-11-14	02:00	6457,34	6475	6443,65	6461,3	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6763
2018-11-14	03:00	6461,3	6492	6459,54	6489,1	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,7227
2018-11-14	04:00	6489,1	6489,1	6470	6479	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,7058
2018-11-14	05:00	6479	6484,14	6466,71	6477,34	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,7031
2018-11-14	06:00	6476,63	6480,1	6457,66	6457,66	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6702
2018-11-14	07:00	6458,98	6474,92	6451	6466,71	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6853
2018-11-14	08:00	6466,57	6473,32	6452,72	6472	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6942
2018-11-14	16:00	6469	6482,84	6410	6432,1	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6275
2018-11-14	17:00	6431,9	6440	6346,05	6362,8	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5118
2018-11-14	18:00	6362,6	6386,16	6340	6381,88	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5436
2018-11-14	19:00	6381,88	6398	6360	6366,28	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5176
2018-11-14	20:00	6364,47	6371,33	6350,66	6363,4	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5128
2018-11-14	21:00	6363,4	6364,16	6292,93	6309,15	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,4222
2018-11-14	22:00	6308,76	6318,99	6203,36	6232,83	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,2947
2018-11-14	23:00	6231,36	6274,33	5829,67	5965,11	SHORT	0,00167	5997,87	0,00334	REVERSE LONG→SHORT	99,8634	99,8882
2018-11-15	00:00	5965,57	6020	5844	5979,67	LONG	0,00167	5982,87	0,00334	REVERSE SHORT→LONG	99,8194	99,784
2018-11-15	01:00	5975,62	5998	5861	5880	SHORT	0,00167	5997,81	0,00334	REVERSE LONG→SHORT	99,7754	99,9422
2018-11-15	02:00	5876,84	5915	5700	5863,94	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	99,969
2018-11-15	03:00	5861,21	5868,29	5656,87	5767,89	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,1294
2018-11-15	04:00	5769,43	5906	5725,52	5836,82	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,0143
2018-11-15	05:00	5841,99	5855	5765	5796,64	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,0814
2018-11-15	06:00	5794,29	5925	5788,87	5922,41	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	99,8713
2018-11-15	07:00	5917,2	5939,54	5863,69	5887,09	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	99,9303
2018-11-15	08:00	5882,07	5892,85	5826,1	5839,56	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,0097
2018-11-15	09:00	5837,87	5839,35	5667,52	5739,15	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,1774
2018-11-15	10:00	5738,71	5791,5	5710,28	5746,57	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,165
2018-11-15	11:00	5745,39	5751,77	5628,27	5707,19	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2308
2018-11-15	12:00	5705,67	5747,19	5678,9	5739,72	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,1764
2018-11-15	13:00	5739,73	5747	5666,51	5719,42	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2103
2018-11-15	14:00	5719,42	5790	5715,79	5760,94	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,141
2018-11-15	15:00	5763,48	5787,35	5713	5723	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2044
2018-11-15	16:00	5723	5770	5713,18	5761,79	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,1396
2018-11-15	17:00	5761,79	5771,95	5540	5590	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,4265
2018-11-15	18:00	5590	5635,1	5550	5590,2	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,4261
2018-11-15	19:00	5590,08	5648,4	5568,99	5588,19	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,4295
2018-11-15	20:00	5587,45	5610,74	5555,01	5596,3	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,4159
2018-11-15	21:00	5594,98	5597,46	5403,42	5403,52	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,7379
2018-11-15	22:00	5403,52	5730	5403,43	5675,12	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2843
2018-11-15	23:00	5675,13	5745,71	5561	5672,3	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,289
2018-11-16	00:00	5678,3	5763,45	5630	5668,27	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2958
2018-11-16	01:00	5671,85	5696,69	5626,72	5673,89	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2864
2018-11-16	02:00	5673,95	5712,97	5639,58	5690,39	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2588
2018-11-16	03:00	5690,39	5708,84	5630,54	5639,01	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,3446
2018-11-16	04:00	5638,8	5645	5581,4	5645	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,3346
2018-11-16	05:00	5646,38	5688,28	5625,37	5665,94	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2996
2018-11-16	06:00	5666,78	5766,52	5658,8	5753,4	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,1536
2018-11-16	07:00	5757,09	5782,89	5692,53	5706,23	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2324
2018-11-16	08:00	5704,55	5718,46	5674,66	5700	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2428
2018-11-16	09:00	5700	5724,97	5695,19	5718,01	SHORT	0,00167	5997,81	0,00334	HOLD	99,7754	100,2127
